0.35000	1194.8	
0.35100	1076.9	
0.35200	1053.4	
0.35300	1049.3	
0.35400	1165.7	
0.35500	1178.4	
0.35600	1123.5	
0.35700	891.78	
0.35800	841.00	
0.35900	889.94	
0.36000	1185.3	
0.36100	977.88	
0.36200	1021.7	
0.36300	1122.8	
0.36400	1113.8	
0.36500	1093.9	
0.36600	1387.7	
0.36700	1266.9	
0.36800	1199.1	
0.36900	1189.2	
0.37000	1287.7	
0.37100	1136.8	
0.37200	1135.8	
0.37300	1047.5	
0.37400	899.90	
0.37500	871.82	
0.37600	1114.8	
0.37700	1173.1	
0.37800	1510.5	
0.37900	1178.1	
0.38000	1098.0	
0.38100	1226.0	
0.38200	902.79	
0.38300	691.70	
0.38400	732.38	
0.38500	1012.3	
0.38600	865.18	
0.38700	954.77	
0.38800	907.89	
0.38900	1040.5	
0.39000	1301.1	
0.39100	1410.4	
0.39200	1282.3	
0.39300	692.06	
0.39400	752.83	
0.39500	1290.2	
0.39600	1208.4	
0.39700	627.45	
0.39800	1392.9	
0.39900	1700.8	
0.40000	1720.3	
0.40100	1746.2	
0.40200	1756.0	
0.40300	1714.5	
0.40400	1724.2	
0.40500	1658.3	
0.40600	1672.6	
0.40700	1582.9	
0.40800	1672.2	
0.40900	1859.4	
0.41000	1619.1	
0.41100	1792.4	
0.41200	1894.3	
0.41300	1750.3	
0.41400	1765.6	
0.41500	1793.5	
0.41600	1865.3	
0.41700	1774.7	
0.41800	1723.1	
0.41900	1714.1	
0.42000	1561.1	
0.42100	1802.3	
0.42200	1739.3	
0.42300	1567.2	
0.42400	1638.7	
0.42500	1639.5	
0.42600	1638.8	
0.42700	1567.8	
0.42800	1542.4	
0.42900	1424.1	
0.43000	1153.0	
0.43100	1072.1	
0.43200	1713.3	
0.43300	1672.0	
0.43400	1580.6	
0.43500	1660.1	
0.43600	1824.0	
0.43700	1818.2	
0.43800	1683.9	
0.43900	1608.3	
0.44000	1748.4	
0.44100	1789.5	
0.44200	1908.0	
0.44300	1878.5	
0.44400	1897.1	
0.44500	1906.7	
0.44600	1784.5	
0.44700	1960.9	
0.44800	2012.2	
0.44900	1985.6	
0.45000	2077.0	
0.45100	2190.3	
0.45200	2061.0	
0.45300	1893.6	
0.45400	2012.6	
0.45500	2023.4	
0.45600	2090.3	
0.45700	2115.6	
0.45800	2042.3	
0.45900	2042.2	
0.46000	2030.9	
0.46100	2088.8	
0.46200	2043.2	
0.46300	2048.6	
0.46400	2039.4	
0.46500	2023.4	
0.46600	2080.4	
0.46700	2022.9	
0.46800	2099.7	
0.46900	2090.0	
0.47000	2063.3	
0.47100	2023.2	
0.47200	2108.6	
0.47300	2055.7	
0.47400	2058.6	
0.47500	2130.2	
0.47600	2098.9	
0.47700	2087.2	
0.47800	2156.2	
0.47900	2062.6	
0.48000	2086.0	
0.48100	2075.4	
0.48200	2115.6	
0.48300	2103.9	
0.48400	2031.8	
0.48500	1993.2	
0.48600	1712.1	
0.48700	1823.4	
0.48800	1972.8	
0.48900	1910.8	
0.49000	2076.8	
0.49100	1974.3	
0.49200	1872.1	
